stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
SJ,SJ,Terminal San José,"Terminal San José, frente a Instituto Tecnológico Cosvic",9.928767,-84.076308,,,1,,,
SJ_1_01,SJ_1_01,Liceo Costa Rica,Costado este del Liceo de Costa Rica. González Víquez San José,9.925148,-84.074818,,,0,SJ,,
SJ_1_02,SJ_1_02,Distribuidora Illiana,Contiguo a la distribuidora Illiana. La Cruz San José,9.920428,-84.075281,,,0,SJ,,
SJ_1_03,SJ_1_03,Colegio Seminario,Costado norte del Colegio Seminario. Naciones Unidas San José,9.917724,-84.074619,,,0,SJ,,
SJ_1_04,SJ_1_04,Bac Credomatic Centro Comercial,Contiguo al Bac Credomatic. Centro comercial del sur,9.918256,-84.071169,,,0,SJ,,
SJ_1_05,SJ_1_05,Parque de la Paz,Parque de La Paz. San Francisco,9.913138,-84.069014,,,0,SJ,,
SJ_1_06,SJ_1_06,Salón El Jorón,Antiguo salón El Jorón. Santa Marta,9.910087,-84.068738,,,0,SJ,,
SJ_1_07,SJ_1_07,Antigua Radio Reloj,Antigua Radio Reloj. San Francisco,9.907949,-84.068587,,,0,SJ,,
SJ_1_08,SJ_1_08,Cementerio Desamparados,Cercanías del cementerio de Desamparados,9.90422,-84.069361,,,0,SJ,,
SJ_1_09,SJ_1_09,El Lagar,Ferretería El Lagar Desamparados,9.902609,-84.068986,,,0,SJ,,
SJ_1_10,SJ_1_10,Multicentro ,Multicentro Desamparados,9.899889,-84.067616,,,0,SJ,,
SJ_1_11,SJ_1_11,Centro La Villa,Centro Comercial La Villa. Desamparados,9.896134,-84.065291,,,0,SJ,,
SJ_1_12,SJ_1_12,Clínica Marcial Fallas,Clínica Marcial Fallas Díaz en Desamparados,9.893572,-84.064371,,,0,SJ,,
SJ_1_13,SJ_1_13,Ekono Desamparados,Frente a la tienda Ekono. Desamparados,9.891648,-84.064272,,,0,SJ,,
SJ_1_14,SJ_1_14,Servicentro Comara,Cercanías del Servicentro. Comara,9.888771,-84.064906,,,0,SJ,,
SJ_1_15,SJ_1_15,Maxi Palí San Miguel,Frente a Maxi Palí en el cruce de San Miguel de Desamparados,9.885638,-84.066396,,,0,SJ,,
SJ_1_16,SJ_1_16,Mall Expresso,Entrada principal de Mall Expreso en San Rafael Arrida de Desamparados,9.883886,-84.068566,,,0,SJ,,
SJ_1_17,SJ_1_17,Mangueras y Fitinería Bausan,Contiguo a Mangueras y  Fitinería Bausan. San Rafael Arriba,9.881718,-84.070306,,,0,SJ,,
SJ_1_18,SJ_1_18,Urbanización La Huerta,Contiguo a entrada Urb. La Huerta. San Rafael Arriba,9.881218,-84.071688,,,0,SJ,,
SJ_1_19,SJ_1_19,Fisioestética Olam,Fisioestética Olam. San Rafael Arriba,9.88035,-84.07341,,,0,SJ,,
SJ_1_20,SJ_1_20,Restaurante El Boyero,Contiguo a restaurante El Boyero. San Rafael Arriba,9.877972,-84.074929,,,0,SJ,,
SJ_1_21,SJ_1_21,Salón Comunal Adi,Salón Comunal Adi. San Rafael Arriba,9.874828,-84.077475,,,0,SJ,,
SJ_1_22,SJ_1_22,Restaurante Los Amigos,Contiguo a restaurante Los Amigos. Aserrí,9.871559,-84.080343,,,0,SJ,,
SJ_1_23,SJ_1_23,Fruity Fresh C.R,Contiguo a Fruity Fresh C.R,9.869892,-84.082241,,,0,SJ,,
SJ_1_24,SJ_1_24,Supermercado M,"Contiguo A Supermercado M, Aserrí",9.868627,-84.084913,,,0,SJ,,
SJ_1_25,SJ_1_25,Cementerio Aserrí,Cementerio de Aserrí,9.86749,-84.087211,,,0,SJ,,
SJ_1_26,SJ_1_26,Ferreteria Las Gravilias,Frente A ferretería Las Gravilias Aserrí,9.86604,-84.088776,,,0,SJ,,
SJ_1_27,SJ_1_27,Chicharronera Cacique Acseri,"Chicharronera Cacique Acseri, Aserrí",9.864369,-84.090588,,,0,SJ,,
SJ_1_28,SJ_1_28,Municipalidad de Aserrí,Costado Municipalidad Aserrí,9.862643,-84.093202,,,0,SJ,,
SJ_1_29,SJ_1_29,Panaderia La Única,"Contiguo a Panadería La Única, Aserrí",9.861588,-84.094445,,,0,SJ,,
SJ_1_30,SJ_1_30,Quebrada Suerre,"Puente Quebrada Suerre, Aserrí",9.860229,-84.094178,,,0,SJ,,
SJ_1_31,SJ_1_31,El Buen Café,"Soda Y Rest. El Buen Café, Aserrí",9.85783,-84.094618,,,0,SJ,,
SJ_1_32,SJ_1_32,Planta Potabilizadora,Planta Potabilizadora De Aserrí,9.854626,-84.09696,,,0,SJ,,
SJ_1_33,SJ_1_33,Taller Automotriz Castillo,"Frente A Taller Automotriz Castillo, Lourdes Aserrí",9.852279,-84.10008,,,0,SJ,,
SJ_1_34,SJ_1_34,Iglesia Católica de Lourdes,"Frente A Iglesia Católica De Lourdes, Aserrí",9.850966,-84.100672,,,0,SJ,,
SJ_1_35,SJ_1_35,Hotel Colinas Altavista,"Frente A Entrada Hotel Colinas Altavista, Tarbaca Aserrí",9.827812,-84.106756,,,0,SJ,,
SJ_1_36,SJ_1_36,Centro de Integración Afihnec,"Frente A Centro De Integración Afihnec, Tarbaca Aserrí",9.821146,-84.110126,,,0,SJ,,
SJ_1_37,SJ_1_37,Salón Comunal de Tarbaca,"Salón Comunal De Tarbaca, Aserrí",9.815327,-84.113216,,,0,SJ,,
SJ_0_01,SJ_0_01,Cerámicas Tarbaquita,Ceramicas Tabarquita. Tarbaca Aserrí,9.814918,-84.113013,,,,,,
SJ_0_02,SJ_0_02,Centro de Integración Afihnec,Centro De Integración Afihnec. Tarbaca Aserrí,9.82098,-84.110078,,,,,,
