stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
SJ_0_00,SJ_0_00,Cruce Vivero Tarbaquita,,9.814861,-84.112708,RUTA_E,,0,,,
SJ_0_01,SJ_0_01,Restaurante Donde Alcides,,9.818162,-84.112598,RUTA_E,,0,,,
SJ_0_02,SJ_0_02,Iglesia Católica de Tarbaca,,9.819667,-84.110409,RUTA_E,,0,,,
SJ_0_03,SJ_0_03,Estación terrena (antena) del ICE,,9.822590,-84.109629,RUTA_E,,0,,,
SJ_0_04,SJ_0_04,Entrada a Casa Candelaria,,9.825393,-84.110770,RUTA_E,,0,,,
SJ_0_05,SJ_0_05,Entrada a Hotel Alta Vista,,9.827857,-84.106332,RUTA_E,,0,,,
SJ_0_06,SJ_0_06,Calle Azulillos,,9.831590,-84.106125,RUTA_E,,0,,,
SJ_0_07,SJ_0_07,Parrillada El Che (antiguo Restaurante El Palenque),,9.832522,-84.104587,RUTA_E,,0,,,
SJ_0_08,SJ_0_08,La casa del Gringo (entrada a los Castro),,9.835035,-84.101076,RUTA_F,,0,,,
SJ_0_09,SJ_0_09,Restaurante Ram Luna,,9.836953,-84.097896,RUTA_F,,0,,,
SJ_0_10,SJ_0_10,Antes de Mirador La Tranca,,9.840516,-84.098272,RUTA_F,,0,,,
SJ_0_11,SJ_0_11,Después de Mirador La Tranca,,9.841315,-84.098909,RUTA_F,,0,,,
SJ_0_12,SJ_0_12,Restaurante El Llanero,,9.845008,-84.099944,RUTA_F,,0,,,
SJ_0_13,SJ_0_13,Mirador La Montaña,,9.846365,-84.099249,RUTA_F,,0,,,
SJ_0_14,SJ_0_14,Barrio Lourdes (puente de Sáurez),,9.852299,-84.099798,RUTA_F,,0,,,
SJ_0_15,SJ_0_15,Acueducto Municipal de Aserrí (El Ranchito),,9.854447,-84.096986,RUTA_F,,0,,,
SJ_0_16,SJ_0_16,Cinco Esquinas de Aserrí,,9.857445,-84.094438,RUTA_G,,0,,,
SJ_0_17,SJ_0_17,Antes de Palí de Cinco Esquinas,,9.859533,-84.094183,RUTA_G,,0,,,
SJ_0_18,SJ_0_18,Detrás de la Iglesia Católica de Aserrí,,9.861510,-84.093206,RUTA_G,,0,,,
SJ_0_19,SJ_0_19,Antiguo Banco Nacional diagonal al Parque de Aserrí,,9.862880,-84.092079,RUTA_G,,0,,,
SJ_0_20,SJ_0_20,Chicharronera Cacique Acserí,,9.864110,-84.090751,RUTA_G,,0,,,
SJ_0_21,SJ_0_21,Depósito Las Gravilias,,9.865799,-84.088848,RUTA_G,,0,,,
SJ_0_22,SJ_0_22,Cementerio de Aserrí,,9.867528,-84.086822,RUTA_G,,0,,,
SJ_0_23,SJ_0_23,Super Más y Más (antigua fábrica Jockey),,9.868665,-84.084543,RUTA_G,,0,,,
SJ_0_24,SJ_0_24,Licorera Alberto Fallas,,9.869805,-84.082230,RUTA_G,,0,,,
SJ_0_25,SJ_0_25,Panadería Trinidad,,9.871126,-84.080503,RUTA_G,,0,,,
